Ply_name,Texture Condition,Brightness distortion,Color Distortion,Noise,Blurriness,Point Density Distortion,Scattering Artifact,Grid Artifact,Missing Region,Deformed Shape,MOS,Rounded MOS,Label,Generated_Description
litchi_gsigma_4_tsigma_16.ply,Barely Identifiable,Low,Medium,High,High,Medium,Low,None,None,None,43.39649489,43,Poor,"From a perceptual standpoint, the texture is barely identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a medium level of color distortion, a high level of noise, and a high level of blurriness, and geometric ones include a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
litchi_gsigma_4_tsigma_32.ply,Completely Damaged,Low,Medium,High,High,Medium,Low,None,None,None,32.56601573,33,Poor,"When examining this point cloud, the texture is completely damaged. On the photometric side, we observe a low level of brightness distortion, a medium level of color distortion, a high level of noise, and a high level of blurriness; on the geometric side, we observe a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
litchi_level_7.ply,Completely Damaged,Low,High,Severe,Severe,Severe,None,None,None,None,2.482748258,2,Bad,"From a perceptual standpoint, the texture is completely damaged. In terms of distortions, photometric ones include a low level of brightness distortion, a high level of color distortion, a severe level of noise, and a severe level of blurriness, and geometric ones include a severe level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
litchi_level_8.ply,Barely Identifiable,None,Medium,High,High,High,None,None,None,None,23.51904767,24,Bad,"Visually, the texture is barely identifiable, with photometric distortions such as no perceptible brightness distortion, a medium level of color distortion, a high level of noise, and a high level of blurriness. Geometric artifacts such as a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as bad."
litchi_level_9.ply,Slightly distorted but identifiable,None,Low,Low,Low,Medium,None,None,None,None,88.25654022,88,Excellent,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as no perceptible brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as excellent."
litchi_pqs_1_qs_16_rounded.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,None,None,None,None,90.59614947,91,Excellent,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
litchi_pqs_1_qs_32_rounded.ply,Slightly distorted but identifiable,Medium,Medium,Low,Low,Low,None,None,None,None,72.26469753,72,Good,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a medium level of brightness distortion, a medium level of color distortion, a low level of noise, and a low level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
litchi_pqs_1_qs_48_rounded.ply,Distorted but identifiable,Medium,Medium,Low,Medium,Low,None,None,None,None,43.15755648,43,Poor,"When examining this point cloud, the texture is distorted but identifiable. On the photometric side, we observe a medium level of brightness distortion, a medium level of color distortion, a low level of noise, and a medium level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
litchi_pqs_1_qs_64_rounded.ply,Barely Identifiable,High,High,Low,Medium,Low,None,None,None,None,32.09673457,32,Poor,"Considering this point cloud, the texture is barely identifiable. Photometric effects involve a high level of brightness distortion, a high level of color distortion, a low level of noise, and a medium level of blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
litchi_tsl_4_tqs_64.ply,Distorted but identifiable,Low,Low,Low,Medium,Low,None,None,Low,High,41.44995622,41,Poor,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a medium level of blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and a high level of deformed shape. The overall quality is rated as poor."
litchi_tsl_4_tqs_128.ply,Barely Identifiable,Low,Medium,Low,High,Low,None,None,Low,High,33.92753037,34,Poor,"From a perceptual standpoint, the texture is barely identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a high level of blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and a high level of deformed shape. The overall quality is rated as poor."
litchi_tsl_4_tqs_256.ply,Completely Damaged,Low,Medium,Low,Severe,Low,None,None,Low,High,24.48177139,24,Poor,"In this point cloud, the texture is completely damaged. Photometric distortions include a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a severe level of blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and a high level of deformed shape. The overall quality is rated as poor."
litchi_tsl_4_tqs_512.ply,Completely Damaged,Low,High,Low,Severe,Low,None,None,Low,High,14.16383462,14,Bad,"When examining this point cloud, the texture is completely damaged. On the photometric side, we observe a low level of brightness distortion, a high level of color distortion, a low level of noise, and a severe level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and a high level of deformed shape. The overall quality is rated as bad."
litchi_tsl_6_tqs_64.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,None,None,Low,None,76.61593988,77,Good,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as good."
litchi_tsl_6_tqs_128.ply,Distorted but identifiable,Low,Medium,Low,Medium,Low,None,None,Low,None,66.52326242,67,Good,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a medium level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as good."
litchi_tsl_6_tqs_256.ply,Barely Identifiable,Low,Medium,Low,High,Low,None,None,Low,None,38.63096165,39,Poor,"When examining this point cloud, the texture is barely identifiable. On the photometric side, we observe a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a high level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
litchi_tsl_6_tqs_512.ply,Completely Damaged,Low,Medium,Low,Severe,Low,None,None,Low,None,21.54700544,22,Bad,"Considering this point cloud, the texture is completely damaged. Photometric effects involve a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a severe level of blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as bad."
litchi_tsl_8_tqs_64.ply,Distorted but identifiable,Low,Low,Low,Low,Low,None,None,None,None,89.13485285,89,Excellent,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
litchi_tsl_8_tqs_128.ply,Distorted but identifiable,Low,Low,Low,Medium,Low,None,None,None,None,72.29047685,72,Good,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a medium level of blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
litchi_tsl_8_tqs_256.ply,Barely Identifiable,Low,Low,Low,High,Low,None,None,None,None,52.24182148,52,Fair,"From a perceptual standpoint, the texture is barely identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a high level of blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
litchi_tsl_8_tqs_512.ply,Completely Damaged,Low,Low,Low,Severe,Low,None,None,None,None,25.86577269,26,Poor,"In this point cloud, the texture is completely damaged. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a severe level of blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
mushroom_gQP_1_tQP_1.ply,Slightly distorted but identifiable,Low,Low,None,Low,Low,None,None,Low,None,77.73240747,78,Good,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as good."
mushroom_gQP_1_tQP_2.ply,Distorted but identifiable,Low,Low,None,Medium,Low,None,None,Low,None,43.61266042,44,Poor,"When examining this point cloud, the texture is distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
mushroom_gQP_1_tQP_3.ply,Distorted but identifiable,Low,Low,None,Medium,Low,None,None,Low,None,36.81092275,37,Poor,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as poor."
mushroom_gQP_2_tQP_1.ply,Distorted but identifiable,Low,Low,None,Low,Low,None,None,Medium,None,60.55695582,61,Fair,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
mushroom_gQP_2_tQP_2.ply,Distorted but identifiable,Low,Low,None,Medium,Medium,None,None,Medium,None,46.37013719,46,Fair,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, while geometric artifacts include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
mushroom_gQP_2_tQP_3.ply,Distorted but identifiable,Medium,Low,None,Medium,Medium,Low,Low,High,None,30.96539789,31,Poor,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a medium level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, while geometric artifacts include a medium level of point density distortion, a low level of scattering artifact, a low level of grid artifact, a high level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
mushroom_gQP_3_tQP_1.ply,Distorted but identifiable,Medium,Low,None,Low,Medium,Medium,None,High,Medium,30.04520696,30,Poor,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a medium level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness, whereas geometric effects involve a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a high level of missing region, and a medium level of deformed shape. The overall quality is rated as poor."
mushroom_gQP_3_tQP_2.ply,Distorted but identifiable,Low,Low,Low,Medium,Medium,Medium,Low,High,Medium,26.24890703,26,Poor,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by a medium level of point density distortion, a medium level of scattering artifact, a low level of grid artifact, a high level of missing region, and a medium level of deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, a low level of noise, and a medium level of blurriness. The overall quality is rated as poor."
mushroom_gQP_3_tQP_3.ply,Barely Identifiable,Medium,Low,Low,High,Medium,Medium,Low,High,Medium,20.3048466,20,Bad,"When examining this point cloud, the texture is barely identifiable. On the photometric side, we observe a medium level of brightness distortion, a low level of color distortion, a low level of noise, and a high level of blurriness; on the geometric side, we observe a medium level of point density distortion, a medium level of scattering artifact, a low level of grid artifact, a high level of missing region, and a medium level of deformed shape. The overall quality is rated as bad."
mushroom_gsigma_0_tsigma_8.ply,Slightly distorted but identifiable,Low,Low,None,Low,Low,None,None,Low,None,94.30498452,94,Excellent,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
mushroom_gsigma_0_tsigma_16.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,None,None,Low,None,75.09878823,75,Good,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as good."
mushroom_gsigma_0_tsigma_32.ply,Slightly distorted but identifiable,Medium,Low,Medium,Low,Medium,None,None,Low,None,49.35994386,49,Fair,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a medium level of brightness distortion, a low level of color distortion, a medium level of noise, and a low level of blurriness, and geometric ones include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
mushroom_gsigma_2_tsigma_8.ply,Distorted but identifiable,Low,Low,High,Medium,Medium,None,None,None,None,53.853365,54,Fair,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a high level of noise, and a medium level of blurriness, while geometric artifacts include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
mushroom_gsigma_2_tsigma_16.ply,Distorted but identifiable,Low,Low,High,Medium,Medium,None,None,Low,None,46.54985717,47,Fair,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a high level of noise, and a medium level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
mushroom_gsigma_2_tsigma_32.ply,Distorted but identifiable,Low,Medium,Severe,Medium,Medium,None,None,Low,Low,38.48644541,38,Poor,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a medium level of color distortion, a severe level of noise, and a medium level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and a low level of deformed shape are also present. The overall quality is rated as poor."
mushroom_gsigma_4_tsigma_8.ply,Distorted but identifiable,Low,Medium,High,Medium,Medium,None,None,None,Low,43.44282972,43,Poor,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a medium level of color distortion, a high level of noise, and a medium level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and a low level of deformed shape are also present. The overall quality is rated as poor."
mushroom_gsigma_4_tsigma_16.ply,Barely Identifiable,Low,Medium,Severe,High,Medium,None,None,None,None,37.94959663,38,Poor,"Visually, the texture is barely identifiable, with photometric distortions such as a low level of brightness distortion, a medium level of color distortion, a severe level of noise, and a high level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as poor."
mushroom_gsigma_4_tsigma_32.ply,Barely Identifiable,Low,Medium,Severe,Medium,High,None,None,None,None,25.0118684,25,Poor,"From a perceptual standpoint, the texture is barely identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a medium level of color distortion, a severe level of noise, and a medium level of blurriness, and geometric ones include a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
mushroom_level_7.ply,Completely Damaged,None,Severe,Severe,Severe,Severe,Low,None,None,None,9.333568254,9,Bad,"In this point cloud, the texture is completely damaged. Photometric distortions include no perceptible brightness distortion, a severe level of color distortion, a severe level of noise, and a severe level of blurriness, while geometric artifacts include a severe level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
mushroom_level_8.ply,Completely Damaged,Low,Severe,Severe,Severe,Severe,None,None,None,None,37.85255924,38,Poor,"From a perceptual viewpoint, the texture is completely damaged. Geometric distortions are characterized by a severe level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a severe level of color distortion, a severe level of noise, and a severe level of blurriness. The overall quality is rated as poor."
mushroom_level_9.ply,Slightly distorted but identifiable,None,Low,Medium,Medium,High,None,None,Low,None,75.0391223,75,Good,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as no perceptible brightness distortion, a low level of color distortion, a medium level of noise, and a medium level of blurriness. Geometric artifacts such as a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as good."
mushroom_pqs_1_qs_16_rounded.ply,Slightly distorted but identifiable,Medium,Low,Low,Low,Low,None,None,None,None,78.27872364,78,Excellent,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a medium level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as excellent."
mushroom_pqs_1_qs_32_rounded.ply,Distorted but identifiable,Medium,High,Medium,Medium,Low,None,None,None,Medium,56.14525679,56,Good,"Visually, the texture is distorted but identifiable, with photometric distortions such as a medium level of brightness distortion, a high level of color distortion, a medium level of noise, and a medium level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and a medium level of deformed shape are also present. The overall quality is rated as good."
mushroom_pqs_1_qs_48_rounded.ply,Distorted but identifiable,Low,High,Medium,Medium,Low,None,None,None,Low,40.60165686,41,Fair,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and a low level of deformed shape, and photometric distortions by a low level of brightness distortion, a high level of color distortion, a medium level of noise, and a medium level of blurriness. The overall quality is rated as fair."
mushroom_pqs_1_qs_64_rounded.ply,Distorted but identifiable,Medium,Severe,Low,Medium,Low,None,None,None,Medium,33.14353805,33,Poor,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a medium level of brightness distortion, a severe level of color distortion, a low level of noise, and a medium level of blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and a medium level of deformed shape. The overall quality is rated as poor."
mushroom_tsl_4_tqs_64.ply,Slightly distorted but identifiable,Low,Medium,Low,Low,Low,None,Low,Medium,Medium,27.57543492,28,Poor,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a low level of blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, a low level of grid artifact, a medium level of missing region, and a medium level of deformed shape. The overall quality is rated as poor."
mushroom_tsl_4_tqs_128.ply,Distorted but identifiable,Low,Low,None,Medium,None,None,None,Medium,Medium,24.10406461,24,Poor,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, and geometric ones include no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a medium level of missing region, and a medium level of deformed shape. The overall quality is rated as poor."
mushroom_tsl_4_tqs_256.ply,Distorted but identifiable,Low,Medium,None,Medium,None,None,None,Medium,Medium,19.30076664,19,Bad,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a medium level of color distortion, no perceptible noise, and a medium level of blurriness. Geometric artifacts such as no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a medium level of missing region, and a medium level of deformed shape are also present. The overall quality is rated as bad."
mushroom_tsl_4_tqs_512.ply,Barely Identifiable,Low,Medium,None,High,None,None,None,Medium,Medium,41.41054887,41,Fair,"Visually, the texture is barely identifiable, with photometric distortions such as a low level of brightness distortion, a medium level of color distortion, no perceptible noise, and a high level of blurriness. Geometric artifacts such as no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a medium level of missing region, and a medium level of deformed shape are also present. The overall quality is rated as fair."
mushroom_tsl_6_tqs_64.ply,Distorted but identifiable,Low,Medium,None,Low,None,None,None,Medium,Low,57.68596032,58,Good,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a medium level of missing region, and a low level of deformed shape, and photometric distortions by a low level of brightness distortion, a medium level of color distortion, no perceptible noise, and a low level of blurriness. The overall quality is rated as good."
mushroom_tsl_6_tqs_128.ply,Distorted but identifiable,Low,Low,Low,Medium,None,None,None,Medium,Low,39.78083703,40,Fair,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a low level of noise, and a medium level of blurriness. Geometric artifacts such as no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a medium level of missing region, and a low level of deformed shape are also present. The overall quality is rated as fair."
mushroom_tsl_6_tqs_256.ply,Barely Identifiable,Low,Low,None,Medium,None,None,None,Low,Low,25.46694736,25,Poor,"Considering this point cloud, the texture is barely identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, whereas geometric effects involve no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and a low level of deformed shape. The overall quality is rated as poor."
mushroom_tsl_6_tqs_512.ply,Barely Identifiable,Low,Low,None,Severe,None,None,None,Medium,Medium,53.85372558,54,Fair,"Considering this point cloud, the texture is barely identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a severe level of blurriness, whereas geometric effects involve no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a medium level of missing region, and a medium level of deformed shape. The overall quality is rated as fair."
mushroom_tsl_8_tqs_64.ply,Slightly distorted but identifiable,Low,Low,None,Low,None,None,None,None,None,77.97600123,78,Excellent,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness; on the geometric side, we observe no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
mushroom_tsl_8_tqs_128.ply,Slightly distorted but identifiable,Low,Low,None,Medium,None,None,None,None,None,54.0878804,54,Fair,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness. Geometric artifacts such as no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
mushroom_tsl_8_tqs_256.ply,Distorted but identifiable,Low,Low,None,High,None,None,None,None,Low,32.76135347,33,Poor,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and a low level of deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a high level of blurriness. The overall quality is rated as poor."
mushroom_tsl_8_tqs_512.ply,Distorted but identifiable,Low,Low,None,High,None,None,None,Low,Low,49.27551175,49,Fair,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and a low level of deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a high level of blurriness. The overall quality is rated as fair."
pen_container_gQP_1_tQP_1.ply,Slightly distorted but identifiable,Low,Medium,None,Low,Low,None,None,Low,"
",71.9075967,72,Good,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a medium level of color distortion, no perceptible noise, and a low level of blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as good."
pen_container_gQP_1_tQP_2.ply,Distorted but identifiable,Low,Medium,Low,High,Low,None,None,Low,Low,58.41302656,58,Good,"When examining this point cloud, the texture is distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a high level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and a low level of deformed shape. The overall quality is rated as good."
pen_container_gQP_1_tQP_3.ply,Distorted but identifiable,Low,Medium,Low,High,Low,None,High,Low,Medium,49.94094889,50,Fair,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by a low level of point density distortion, no perceptible scattering artifact, a high level of grid artifact, a low level of missing region, and a medium level of deformed shape, and photometric distortions by a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a high level of blurriness. The overall quality is rated as fair."
pen_container_gQP_2_tQP_1.ply,Distorted but identifiable,Low,Medium,Low,High,Low,Medium,None,Low,High,48.83871654,49,Fair,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a high level of blurriness, whereas geometric effects involve a low level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a low level of missing region, and a high level of deformed shape. The overall quality is rated as fair."
pen_container_gQP_2_tQP_2.ply,Distorted but identifiable,Low,Medium,Low,High,Low,Medium,Medium,Low,High,46.26842675,46,Fair,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a high level of blurriness, whereas geometric effects involve a low level of point density distortion, a medium level of scattering artifact, a medium level of grid artifact, a low level of missing region, and a high level of deformed shape. The overall quality is rated as fair."
pen_container_gQP_2_tQP_3.ply,Distorted but identifiable,Low,Medium,Low,Severe,Low,Medium,High,Low,Severe,40.75406727,41,Fair,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a severe level of blurriness, and geometric ones include a low level of point density distortion, a medium level of scattering artifact, a high level of grid artifact, a low level of missing region, and a severe level of deformed shape. The overall quality is rated as fair."
